Step,Losses_kW,Avg_Voltage_pu,Min_Voltage_pu
0,0.918689483711003,0.9798583589465624,0.9323391336083656
1,0.8769196123805505,0.9802592531538338,0.9344848022803025
2,0.723976455165086,0.9818594649958324,0.9428744456224387
3,0.843239068707765,0.9805928372702996,0.9362570612219897
4,0.9368455495231892,0.9796879474076876,0.9314266682091449
5,1.0285080029371456,0.9788591908933277,0.9269893171230109
6,0.6766903323594415,0.9824028776290742,0.9457112914864827
7,0.8814302103220644,0.9802153841873439,0.9342496609008333
8,0.8717390639639753,0.9803098946594612,0.9347555752357757
9,0.9001852971547205,0.9800344146493911,0.9332813720389244
10,1.0637018617347511,0.9785538360423831,0.9253532781752679
11,0.6721960598032228,0.9824559613843068,0.9459883495312368
12,0.6816049476901562,0.9823452107371505,0.945408633806154
13,0.9640037050907022,0.9794370051506952,0.9300836857163779
14,0.9477688279983267,0.9795863881701999,0.9308836878967016
15,0.9757530947042479,0.979329896788435,0.929510312785492
16,0.9151468800699085,0.9798918260459435,0.9325187590707179
17,1.089253211198923,0.9783361593184153,0.9241869589141207
18,0.9045359292835837,0.9799926921767345,0.9330591622837322
19,0.8666074501710646,0.9803602289586499,0.9350250178928519
20,0.6777024382689251,0.9823909595872022,0.9456491030354369
21,0.7351749583980963,0.9817348593075347,0.9422182341045265
22,1.0570469720378606,0.9786110139657905,0.9256601671994367
23,0.7370992854763472,0.9817132276404895,0.9421108213782889
24,1.090898449125688,0.9783221863257925,0.9241126783376787
25,0.9002628037772865,0.9800335594197538,0.933277890076721
26,1.143420666759881,0.9778852208219463,0.9217699695198132
27,0.719159109371456,0.9819136238350565,0.9431572132783395
28,1.0994299894521473,0.9782503003892224,0.923727450311951
29,1.0232814969305837,0.9789050292866605,0.9272355913782365
30,1.1489417111086477,0.9778399578178708,0.9215278518484002
31,1.0383012068452218,0.9787734402555811,0.9265309104940308
32,1.0563147316945452,0.9786173156003994,0.9256940170551154
33,0.974845423199139,0.9793380834180829,0.9295546606200642
34,1.0364734929082997,0.9787894717389656,0.926616025375022
35,0.7129484907537981,0.9819838355266675,0.9435238030597813
36,0.8971532056280621,0.9800634978579502,0.9334369869131152
37,0.8701123896407371,0.9803258237293555,0.9348408899863485
38,0.8480315889473404,0.9805445199247712,0.9360055433623006
39,1.0786209902371202,0.9784263755546534,0.9246700318006894
40,1.0866391836613238,0.9783581932571436,0.9243057509317022
41,0.9889051720193102,0.9792109480630792,0.9288739938173468
42,0.9852571495908642,0.9792438665520748,0.9290498289320526
43,0.7839027175797537,0.9812058900597017,0.9394661258025108
44,1.1161106300016528,0.9781109977443351,0.9229789061899858
45,0.967125442483717,0.9794083672441434,0.9299312649848883
46,0.8870540950520781,0.9801607853201678,0.9339581446103958
47,0.9344293025057495,0.9797104672210851,0.9315475449304379
48,1.2604549605300344,0.97695462540136,0.9167796104773744
49,0.8759332846646621,0.9802687103008654,0.9345370526063715
50,0.7816152603890014,0.981230183874166,0.9395931779668885
51,1.152529941506481,0.9778108719535021,0.9213700863475632
52,1.2144638038771045,0.9773135451382237,0.9187056924834777
53,1.1476177881087388,0.977850692111478,0.9215861664006081
54,0.9341743903580063,0.979712715673089,0.931560833525758
55,1.1996225974598937,0.9774312938003584,0.9193363049957388
56,1.0376862283017827,0.9787787786130592,0.9265597203091303
57,0.989387785752966,0.9792066301678889,0.9288506500622238
58,1.0088510411241105,0.9790326727931058,0.9279187832707569
59,1.233375171534497,0.9771649864855286,0.9179083408333799
60,0.9841703715774666,0.9792535532671933,0.9291027898952462
61,1.2388255740066443,0.9771224242372151,0.9176799450296521
62,1.2335453894008752,0.9771635488350081,0.9179015058145005
63,1.1269660314684888,0.9780205865956786,0.9224969777058457
64,1.1652482984097259,0.9777071983040803,0.9208165185018962
65,1.2844222411413748,0.9767706054930216,0.9157932069337
66,1.1223291660372916,0.9780589801454589,0.9227029699876476
67,1.194812344984699,0.9774695256188776,0.9195420893776787
68,1.1460744704943864,0.9778633314930557,0.9216538484502099
69,1.3839892660469049,0.9760281487169938,0.9118082545353721
70,1.2090910548124165,0.9773559263979279,0.9189338469557087
71,1.086625643696697,0.9783582441250657,0.9243065672962225
72,1.0551381111318532,0.9786274401629496,0.9257484716585763
73,1.3076841286563703,0.9765941495574736,0.9148459524800331
74,1.0994086638162126,0.978250357828326,0.9237287847889986
75,1.3571874396513721,0.9762247597460081,0.9128635664499201
76,1.296795364445662,0.9766763993918465,0.9152883918514535
77,1.0582001653705484,0.9786009430905788,0.92560737612822
78,1.2089291699819704,0.9773573558586742,0.9189402960721739
79,1.1611860197899577,0.9777401109385792,0.9209932974901143
80,1.2634921899873925,0.9769310949913622,0.9166542528027815
81,1.252029060711563,0.9770196379689198,0.9171296300321204
82,1.1891439064388614,0.9775147499687901,0.9197850981048131
83,1.0032687161115637,0.9790822477538841,0.9281851875897169
84,0.4966124936701144,0.984788321758994,0.9581523285569518
85,0.921328079953857,0.9798334769771425,0.932205692946441
86,0.9064792888511711,0.9799742344466269,0.9329595510171942
87,0.7075104986906745,0.982045676758144,0.9438466783957116
88,0.5065260141013795,0.984639617765831,0.9573767773187288
89,0.5450421602473443,0.9840850639293487,0.9544837977286491
90,0.9190239251664071,0.9798552187641852,0.9323221380636203
91,0.4865627307852837,0.9849418347210591,0.958952331611678
92,0.7587939674785348,0.9814756488216845,0.9408672759715913
93,0.8909249877138209,0.9801234384618249,0.9337577820727622
94,0.6112372183228209,0.983203899650737,0.9498909982827028
95,0.7098657202951645,0.9820189208179663,0.9437057299296988
96,1.685277271347476,0.9739585187113944,0.9006886555162547
97,1.9592017588798125,0.9722568712751359,0.8915306711697755
98,1.7701567245039131,0.9734151974158577,0.8977668505629023
99,2.0443915437834574,0.971755642303596,0.8888307074996141
100,1.171288442784994,0.9776582971522316,0.9205546472426882
101,1.3804081483844302,0.9760542723261367,0.9119485915908809
102,1.5448812392677473,0.9748931813274201,0.9057127530750709
103,1.986700613670183,0.9720937105671985,0.8906524625223151
104,1.1884315118525757,0.977520145961869,0.9198165420746437
105,1.73287636362756,0.9736519572218244,0.8990400177091067
106,1.8830173159877832,0.972715665872003,0.8940013082821097
107,1.4859650035560452,0.9753000487158081,0.9079002839391086
108,1.148385918710982,0.9778442881763132,0.9215528492960556
109,0.7254136210907655,0.9818433563981969,0.9427903200590055
110,1.4697644891363315,0.9754138154953108,0.9085100125704895
