Step,Device,Power(W)
45,device_Load1,1006.10
45,device_Load2,2562.40
45,device_EV,0.00
45,device_ESS,3000.00
46,device_PV,-706.80
46,device_Load1,980.73
46,device_Load2,2762.37
46,device_EV,0.00
46,device_ESS,3000.00
47,device_PV,-550.25
47,device_Load1,1104.89
47,device_Load2,2666.82
47,device_EV,0.00
47,device_ESS,3000.00
48,device_PV,-0.00
48,device_Load1,1381.24
48,device_Load2,2781.35
48,device_EV,0.00
48,device_ESS,3000.00
49,device_PV,-1035.06
49,device_Load1,1336.73
49,device_Load2,2544.86
49,device_EV,0.00
49,device_ESS,3000.00
50,device_PV,-1297.47
50,device_Load1,1227.19
50,device_Load2,2563.58
50,device_EV,0.00
50,device_ESS,3000.00
51,device_PV,-0.00
51,device_Load1,1198.16
51,device_Load2,2755.37
51,device_EV,0.00
51,device_ESS,3000.00
52,device_PV,-0.00
52,device_Load1,1226.10
52,device_Load2,2848.48
52,device_EV,0.00
52,device_ESS,3000.00
53,device_PV,-0.00
53,device_Load1,1252.21
53,device_Load2,2691.42
53,device_EV,0.00
53,device_ESS,3000.00
54,device_PV,-1159.92
54,device_Load1,1211.04
54,device_Load2,2864.88
54,device_EV,0.00
54,device_ESS,3000.00
55,device_PV,-24.52
55,device_Load1,1242.47
55,device_Load2,2815.67
55,device_EV,0.00
55,device_ESS,3000.00
56,device_PV,-329.75
56,device_Load1,1257.66
56,device_Load2,2626.52
56,device_EV,0.00
56,device_ESS,3000.00
57,device_PV,-979.91
57,device_Load1,1270.32
57,device_Load2,2836.38
57,device_EV,0.00
57,device_ESS,3000.00
58,device_PV,-691.71
58,device_Load1,1337.79
58,device_Load2,2666.49
58,device_EV,0.00
58,device_ESS,3000.00
59,device_PV,-0.00
59,device_Load1,1260.18
59,device_Load2,2850.80
59,device_EV,0.00
59,device_ESS,3000.00
60,device_PV,-695.66
60,device_Load1,1327.65
60,device_Load2,2625.63
60,device_EV,0.00
60,device_ESS,-0.00
61,device_PV,-268.63
61,device_Load1,1400.21
61,device_Load2,2855.52
61,device_EV,0.00
61,device_ESS,-0.00
62,device_PV,-0.00
62,device_Load1,1564.57
62,device_Load2,2546.69
62,device_EV,0.00
62,device_ESS,-0.00
63,device_PV,-0.00
63,device_Load1,1347.81
63,device_Load2,2554.57
63,device_EV,0.00
63,device_ESS,-0.00
64,device_PV,-0.00
64,device_Load1,1361.34
64,device_Load2,2617.21
64,device_EV,0.00
64,device_ESS,-0.00
65,device_PV,-0.00
65,device_Load1,1587.59
65,device_Load2,2620.16
65,device_EV,0.00
65,device_ESS,-0.00
66,device_PV,-0.00
66,device_Load1,1384.47
66,device_Load2,2508.58
66,device_EV,0.00
66,device_ESS,-0.00
67,device_PV,-248.03
67,device_Load1,1355.50
67,device_Load2,2805.00
67,device_EV,0.00
67,device_ESS,-0.00
68,device_PV,-733.68
68,device_Load1,1575.17
68,device_Load2,2732.23
68,device_EV,0.00
68,device_ESS,-0.00
69,device_PV,-0.00
69,device_Load1,1504.12
69,device_Load2,2887.10
69,device_EV,0.00
69,device_ESS,-0.00
70,device_PV,-496.24
70,device_Load1,1430.97
70,device_Load2,2881.30
70,device_EV,0.00
70,device_ESS,-0.00
71,device_PV,-257.39
71,device_Load1,1385.46
71,device_Load2,2563.89
71,device_EV,0.00
71,device_ESS,-0.00
72,device_PV,-1048.55
