Step,Device,Power(W)
45,device_PV,-0.00
45,device_Load1,1006.10
45,device_Load2,2562.40
45,device_EV,0.00
45,device_ESS,-931.50
46,device_PV,-353.40
46,device_Load1,980.73
46,device_Load2,2762.37
46,device_EV,0.00
46,device_ESS,-1110.30
47,device_PV,-275.12
47,device_Load1,1104.89
47,device_Load2,2666.82
47,device_EV,0.00
47,device_ESS,-1003.41
48,device_PV,-0.00
48,device_Load1,1381.24
48,device_Load2,2781.35
48,device_EV,0.00
48,device_ESS,-337.41
49,device_PV,-517.53
49,device_Load1,1336.73
49,device_Load2,2544.86
49,device_EV,0.00
49,device_ESS,-1135.93
50,device_PV,-648.73
50,device_Load1,1227.19
50,device_Load2,2563.58
50,device_EV,0.00
50,device_ESS,-1357.97
51,device_PV,-0.00
51,device_Load1,1198.16
51,device_Load2,2755.37
51,device_EV,0.00
51,device_ESS,-546.47
52,device_PV,-0.00
52,device_Load1,1226.10
52,device_Load2,2848.48
52,device_EV,0.00
52,device_ESS,-425.42
53,device_PV,-0.00
53,device_Load1,1252.21
53,device_Load2,2691.42
53,device_EV,0.00
53,device_ESS,-556.37
54,device_PV,-579.96
54,device_Load1,1211.04
54,device_Load2,2864.88
54,device_EV,0.00
54,device_ESS,-1004.04
55,device_PV,-12.26
55,device_Load1,1242.47
55,device_Load2,2815.67
55,device_EV,0.00
55,device_ESS,-454.12
56,device_PV,-164.88
56,device_Load1,1257.66
56,device_Load2,2626.52
56,device_EV,0.00
56,device_ESS,-780.69
57,device_PV,-489.96
57,device_Load1,1270.32
57,device_Load2,2836.38
57,device_EV,0.00
57,device_ESS,-883.26
58,device_PV,-345.86
58,device_Load1,1337.79
58,device_Load2,2666.49
58,device_EV,0.00
58,device_ESS,-841.58
59,device_PV,-0.00
59,device_Load1,1260.18
59,device_Load2,2850.80
59,device_EV,0.00
59,device_ESS,-389.02
60,device_PV,-347.83
60,device_Load1,1327.65
60,device_Load2,2625.63
60,device_EV,0.00
60,device_ESS,-894.55
61,device_PV,-134.31
61,device_Load1,1400.21
61,device_Load2,2855.52
61,device_EV,0.00
61,device_ESS,-378.59
62,device_PV,-0.00
62,device_Load1,1564.57
62,device_Load2,2546.69
62,device_EV,0.00
62,device_ESS,-388.74
63,device_PV,-0.00
63,device_Load1,1347.81
63,device_Load2,2554.57
63,device_EV,0.00
63,device_ESS,-597.62
64,device_PV,-0.00
64,device_Load1,1361.34
64,device_Load2,2617.21
64,device_EV,0.00
64,device_ESS,-521.44
65,device_PV,-0.00
65,device_Load1,1587.59
65,device_Load2,2620.16
65,device_EV,0.00
65,device_ESS,-292.26
66,device_PV,-0.00
66,device_Load1,1384.47
66,device_Load2,2508.58
66,device_EV,0.00
66,device_ESS,-606.94
67,device_PV,-124.02
67,device_Load1,1355.50
67,device_Load2,2805.00
67,device_EV,0.00
67,device_ESS,-463.51
68,device_PV,-366.84
68,device_Load1,1575.17
68,device_Load2,2732.23
68,device_EV,0.00
68,device_ESS,-559.43
69,device_PV,-0.00
69,device_Load1,1504.12
69,device_Load2,2887.10
69,device_EV,0.00
69,device_ESS,-108.78
70,device_PV,-248.12
70,device_Load1,1430.97
70,device_Load2,2881.30
70,device_EV,0.00
70,device_ESS,-435.85
71,device_PV,-128.70
71,device_Load1,1385.46
71,device_Load2,2563.89
71,device_EV,0.00
71,device_ESS,-679.34
72,device_PV,-524.27
72,device_Load1,1709.25
72,device_Load2,2570.78
72,device_EV,0.00
72,device_ESS,-744.24
73,device_PV,-0.00
73,device_Load1,1583.11
73,device_Load2,2668.13
73,device_EV,0.00
73,device_ESS,-248.76
74,device_PV,-564.51
74,device_Load1,1791.56
74,device_Load2,2619.65
74,device_EV,0.00
74,device_ESS,-653.29
75,device_PV,-0.00
75,device_Load1,1739.06
75,device_Load2,2603.43
75,device_EV,0.00
75,device_ESS,-157.50
76,device_PV,-0.00
76,device_Load1,1569.68
76,device_Load2,2661.20
76,device_EV,0.00
76,device_ESS,-269.12
77,device_PV,-630.75
77,device_Load1,1751.26
77,device_Load2,2641.57
77,device_EV,0.00
77,device_ESS,-737.93
78,device_PV,-0.00
78,device_Load1,1518.27
78,device_Load2,2545.63
78,device_EV,0.00
78,device_ESS,-436.10
79,device_PV,-102.17
79,device_Load1,1517.90
79,device_Load2,2554.79
79,device_EV,0.00
79,device_ESS,-529.48
80,device_PV,-19.25
80,device_Load1,1595.95
80,device_Load2,2591.60
80,device_EV,0.00
80,device_ESS,-331.71
81,device_PV,-496.43
81,device_Load1,1762.85
81,device_Load2,2880.11
81,device_EV,0.00
81,device_ESS,-353.47
82,device_PV,-535.98
82,device_Load1,1792.17
82,device_Load2,2769.22
82,device_EV,0.00
82,device_ESS,-474.59
83,device_PV,-708.77
83,device_Load1,1645.70
83,device_Load2,2709.54
83,device_EV,0.00
83,device_ESS,-853.53
84,device_PV,-2266.69
84,device_Load1,1799.90
84,device_Load2,2831.95
84,device_EV,0.00
84,device_ESS,-2134.84
85,device_PV,-1080.35
85,device_Load1,1764.00
85,device_Load2,2783.72
85,device_EV,0.00
85,device_ESS,-1032.63
86,device_PV,-1345.09
86,device_Load1,1898.60
86,device_Load2,2880.41
86,device_EV,0.00
86,device_ESS,-1066.08
87,device_PV,-1330.75
87,device_Load1,1713.50
87,device_Load2,2574.33
87,device_EV,0.00
87,device_ESS,-1542.92
88,device_PV,-1873.31
88,device_Load1,1754.82
88,device_Load2,2514.55
88,device_EV,0.00
88,device_ESS,-2103.93
89,device_PV,-2086.46
89,device_Load1,1766.31
89,device_Load2,2831.92
89,device_EV,0.00
89,device_ESS,-1988.23
90,device_PV,-1056.31
90,device_Load1,1879.73
90,device_Load2,2638.78
90,device_EV,0.00
90,device_ESS,-1037.80
91,device_PV,-2065.71
91,device_Load1,1776.58
91,device_Load2,2622.47
91,device_EV,0.00
91,device_ESS,-2166.66
92,device_PV,-1472.26
92,device_Load1,2004.71
92,device_Load2,2554.11
92,device_EV,0.00
92,device_ESS,-1413.45
93,device_PV,-1036.43
93,device_Load1,1748.37
93,device_Load2,2686.64
93,device_EV,0.00
93,device_ESS,-1101.42
94,device_PV,-1913.35
94,device_Load1,1995.95
94,device_Load2,2614.19
94,device_EV,0.00
94,device_ESS,-1803.22
95,device_PV,-1649.87
95,device_Load1,1923.26
95,device_Load2,2689.81
95,device_EV,0.00
95,device_ESS,-1536.79
96,device_PV,-2682.77
96,device_Load1,1975.81
96,device_Load2,5617.98
96,device_EV,0.00
96,device_ESS,411.03
97,device_PV,-2396.11
97,device_Load1,1918.03
97,device_Load2,5826.25
97,device_EV,0.00
97,device_ESS,848.17
98,device_PV,-2662.35
98,device_Load1,1975.29
98,device_Load2,5736.61
98,device_EV,0.00
98,device_ESS,549.55
99,device_PV,-2531.09
99,device_Load1,2176.50
99,device_Load2,5833.22
99,device_EV,0.00
99,device_ESS,978.63
100,device_PV,-3471.05
100,device_Load1,1922.49
100,device_Load2,5538.99
100,device_EV,0.00
100,device_ESS,-509.56
101,device_PV,-3356.03
101,device_Load1,2023.83
101,device_Load2,5716.93
101,device_EV,0.00
101,device_ESS,-115.27
102,device_PV,-2970.53
102,device_Load1,2078.47
102,device_Load2,5566.77
102,device_EV,0.00
102,device_ESS,174.71
103,device_PV,-2302.39
103,device_Load1,1929.99
103,device_Load2,5762.88
103,device_EV,0.00
103,device_ESS,890.48
104,device_PV,-3705.47
104,device_Load1,2132.48
104,device_Load2,5596.88
104,device_EV,0.00
104,device_ESS,-476.11
105,device_PV,-2835.38
105,device_Load1,2113.83
105,device_Load2,5710.65
105,device_EV,0.00
105,device_ESS,489.10
106,device_PV,-2455.79
106,device_Load1,2109.53
106,device_Load2,5575.67
106,device_EV,0.00
106,device_ESS,729.41
107,device_PV,-3171.11
107,device_Load1,2089.03
107,device_Load2,5654.57
107,device_EV,0.00
107,device_ESS,72.49
108,device_PV,-4210.81
108,device_Load1,2285.32
108,device_Load2,5870.59
108,device_EV,0.00
108,device_ESS,-554.89
109,device_PV,-4796.08
109,device_Load1,2203.61
109,device_Load2,5595.36
109,device_EV,0.00
109,device_ESS,-1497.12
110,device_PV,-3606.96
110,device_Load1,2331.63
110,device_Load2,5819.49
110,device_EV,0.00
110,device_ESS,44.16
111,device_PV,-4829.98
111,device_Load1,2312.43
111,device_Load2,5635.02
111,device_EV,0.00
111,device_ESS,-1382.53
112,device_PV,-4276.52
112,device_Load1,2302.36
112,device_Load2,5813.56
112,device_EV,0.00
112,device_ESS,-660.60
113,device_PV,-4933.69
113,device_Load1,2088.15
113,device_Load2,5579.23
113,device_EV,0.00
113,device_ESS,-1766.31
114,device_PV,-3728.07
114,device_Load1,2287.13
114,device_Load2,5566.48
114,device_EV,0.00
114,device_ESS,-374.47
115,device_PV,-4171.84
115,device_Load1,2266.99
115,device_Load2,5571.53
115,device_EV,0.00
115,device_ESS,-833.31
116,device_PV,-4599.42
116,device_Load1,2117.14
116,device_Load2,5530.67
116,device_EV,0.00
116,device_ESS,-1451.61
117,device_PV,-3662.04
117,device_Load1,2147.37
117,device_Load2,5674.00
117,device_EV,0.00
117,device_ESS,-340.67
118,device_PV,-3576.53
118,device_Load1,2349.26
118,device_Load2,5544.93
118,device_EV,0.00
118,device_ESS,-182.34
119,device_PV,-4698.92
119,device_Load1,2276.01
119,device_Load2,5660.63
119,device_EV,0.00
119,device_ESS,-1262.28
120,device_PV,-4624.75
120,device_Load1,2250.69
120,device_Load2,5539.11
120,device_EV,5000.00
120,device_ESS,3665.04
121,device_PV,-4934.94
121,device_Load1,2403.94
121,device_Load2,5717.59
121,device_EV,5000.00
121,device_ESS,3686.59
122,device_PV,-4645.46
122,device_Load1,2295.41
122,device_Load2,5641.46
122,device_EV,5000.00
122,device_ESS,3791.42
123,device_PV,-5114.28
123,device_Load1,2395.58
123,device_Load2,5640.35
123,device_EV,5000.00
123,device_ESS,3421.65
124,device_PV,-5932.34
124,device_Load1,2381.98
124,device_Load2,5834.63
124,device_EV,5000.00
124,device_ESS,2784.28
125,device_PV,-4708.71
125,device_Load1,2199.45
125,device_Load2,5619.15
125,device_EV,5000.00
125,device_ESS,3609.89
126,device_PV,-4694.11
126,device_Load1,2418.47
126,device_Load2,5631.25
126,device_EV,5000.00
126,device_ESS,3855.61
127,device_PV,-5698.66
127,device_Load1,2223.47
127,device_Load2,5583.20
127,device_EV,5000.00
127,device_ESS,2608.01
128,device_PV,-5862.02
128,device_Load1,2361.27
128,device_Load2,5829.97
128,device_EV,5000.00
128,device_ESS,2829.21
129,device_PV,-4624.68
129,device_Load1,2454.03
129,device_Load2,5779.42
129,device_EV,5000.00
129,device_ESS,4108.76
130,device_PV,-5477.56
130,device_Load1,2284.18
130,device_Load2,5841.14
130,device_EV,5000.00
130,device_ESS,3147.76
131,device_PV,-5829.45
131,device_Load1,2239.46
131,device_Load2,5752.50
131,device_EV,5000.00
131,device_ESS,2662.51
132,device_PV,-5760.02
132,device_Load1,2362.34
132,device_Load2,5626.51
132,device_EV,5000.00
132,device_ESS,2728.82
133,device_PV,-5303.05
133,device_Load1,2398.69
133,device_Load2,5789.85
133,device_EV,5000.00
133,device_ESS,3385.50
134,device_PV,-5574.85
134,device_Load1,2343.62
134,device_Load2,5531.67
134,device_EV,5000.00
134,device_ESS,2800.44
135,device_PV,-5073.22
135,device_Load1,2375.64
135,device_Load2,5540.07
135,device_EV,5000.00
135,device_ESS,3342.49
136,device_PV,-5604.23
136,device_Load1,2567.71
136,device_Load2,5635.33
136,device_EV,5000.00
136,device_ESS,3098.81
137,device_PV,-5308.02
137,device_Load1,2367.89
137,device_Load2,5735.63
137,device_EV,5000.00
137,device_ESS,3295.50
138,device_PV,-5890.15
138,device_Load1,2569.17
138,device_Load2,5541.17
138,device_EV,5000.00
138,device_ESS,2720.20
139,device_PV,-6464.44
139,device_Load1,2551.94
139,device_Load2,5652.50
139,device_EV,5000.00
139,device_ESS,2239.99
140,device_PV,-5932.22
140,device_Load1,2542.89
140,device_Load2,5567.82
140,device_EV,5000.00
140,device_ESS,2678.49
141,device_PV,-6073.13
141,device_Load1,2465.67
141,device_Load2,5854.84
141,device_EV,5000.00
141,device_ESS,2747.38
142,device_PV,-5483.98
142,device_Load1,2472.47
142,device_Load2,5595.04
142,device_EV,5000.00
142,device_ESS,3083.53
143,device_PV,-5417.57
143,device_Load1,2516.85
143,device_Load2,5807.24
143,device_EV,5000.00
143,device_ESS,3406.52
144,device_PV,-5537.05
144,device_Load1,2499.87
144,device_Load2,5810.63
144,device_EV,5000.00
144,device_ESS,3273.45
145,device_PV,-6606.84
145,device_Load1,2449.13
145,device_Load2,5581.94
145,device_EV,5000.00
145,device_ESS,1924.23
146,device_PV,-5906.55
146,device_Load1,2544.60
146,device_Load2,5873.02
146,device_EV,5000.00
146,device_ESS,3011.07
147,device_PV,-5790.03
147,device_Load1,2344.63
147,device_Load2,5856.53
147,device_EV,5000.00
147,device_ESS,2911.12
148,device_PV,-6712.46
148,device_Load1,2366.58
148,device_Load2,5806.25
148,device_EV,5000.00
148,device_ESS,1960.36
149,device_PV,-6673.60
149,device_Load1,2591.73
149,device_Load2,5632.17
149,device_EV,5000.00
149,device_ESS,2050.29
150,device_PV,-6011.37
150,device_Load1,2369.47
150,device_Load2,5882.79
150,device_EV,5000.00
150,device_ESS,2740.90
151,device_PV,-5874.57
151,device_Load1,2501.56
151,device_Load2,5713.48
151,device_EV,5000.00
151,device_ESS,2840.46
