Step,Device,Power(W)
44,device_Load1,4000.00
44,device_Load2,5000.00
44,device_EV,6000.00
44,device_ESS,3000.00
44,device_PV,-2000.00
45,device_Load2,5000.00
45,device_EV,6000.00
45,device_ESS,3000.00
45,device_PV,-2000.00
45,device_Load1,4000.00
46,device_Load1,4000.00
46,device_Load2,5000.00
46,device_EV,6000.00
46,device_ESS,3000.00
46,device_PV,-2000.00
47,device_Load1,4000.00
47,device_Load2,5000.00
47,device_EV,6000.00
47,device_ESS,3000.00
47,device_PV,-2000.00
48,device_Load2,5000.00
48,device_EV,6000.00
48,device_ESS,3000.00
48,device_PV,-2000.00
48,device_Load1,4000.00
49,device_PV,-2000.00
49,device_Load1,4000.00
49,device_Load2,5000.00
49,device_EV,6000.00
49,device_ESS,3000.00
50,device_Load2,5000.00
50,device_EV,6000.00
50,device_ESS,3000.00
50,device_PV,-2000.00
50,device_Load1,4000.00
51,device_EV,6000.00
51,device_ESS,3000.00
51,device_PV,-2000.00
51,device_Load1,4000.00
51,device_Load2,5000.00
52,device_EV,6000.00
52,device_ESS,3000.00
52,device_PV,-2000.00
52,device_Load1,4000.00
52,device_Load2,5000.00
53,device_EV,6000.00
53,device_ESS,3000.00
53,device_PV,-2000.00
53,device_Load1,4000.00
53,device_Load2,5000.00
54,device_Load1,4000.00
54,device_Load2,5000.00
54,device_EV,6000.00
54,device_ESS,3000.00
54,device_PV,-2000.00
55,device_Load1,4000.00
55,device_Load2,5000.00
55,device_EV,6000.00
55,device_ESS,3000.00
55,device_PV,-2000.00
56,device_Load1,4000.00
56,device_Load2,5000.00
56,device_EV,6000.00
56,device_ESS,3000.00
56,device_PV,-2000.00
57,device_ESS,3000.00
57,device_PV,-2000.00
57,device_Load1,4000.00
57,device_Load2,5000.00
57,device_EV,6000.00
58,device_Load1,4000.00
58,device_Load2,5000.00
58,device_EV,6000.00
58,device_ESS,3000.00
58,device_PV,-2000.00
59,device_Load1,4000.00
59,device_Load2,5000.00
59,device_EV,6000.00
59,device_ESS,3000.00
59,device_PV,-2000.00
